algoritmo;n;tempo_medio_ms
Bubble;2000;4.501
Insertion;2000;1.364
Selection;2000;1.897
Quick;2000;0.092
Bubble;4000;21.617
Insertion;4000;5.667
Selection;4000;7.778
Quick;4000;0.202
Bubble;8000;93.438
Insertion;8000;21.870
Selection;8000;29.842
Quick;8000;0.447
Bubble;12000;215.951
Insertion;12000;50.344
Selection;12000;65.375
Quick;12000;0.729
Bubble;16000;367.055
Insertion;16000;90.976
Selection;16000;115.238
Quick;16000;1.051
Bubble;2000;3.682
Insertion;2000;1.212
Selection;2000;1.947
Quick;2000;0.092
Bubble;4000;14.400
Insertion;4000;4.564
Selection;4000;7.438
Quick;4000;0.199
Bubble;8000;57.860
Insertion;8000;17.784
Selection;8000;29.895
Quick;8000;0.438
Bubble;12000;137.650
Insertion;12000;43.707
Selection;12000;65.216
Quick;12000;0.731
Bubble;16000;257.798
Insertion;16000;81.863
Selection;16000;117.651
Quick;16000;0.973
Bubble;2000;3.710
Insertion;2000;1.380
Selection;2000;1.897
Quick;2000;0.092
Bubble;4000;14.742
Insertion;4000;5.734
Selection;4000;7.604
Quick;4000;0.241
Bubble;8000;57.360
Insertion;8000;21.139
Selection;8000;29.288
Quick;8000;0.430
Bubble;12000;132.100
Insertion;12000;48.100
Selection;12000;66.615
Quick;12000;0.669
Bubble;16000;246.384
Insertion;16000;84.214
Selection;16000;115.819
Quick;16000;0.942
